id,name,published_at,employer_name,alternate_url,level
130578272,Data Engineer,2026-02-18T16:32:24+0300,LIAN,https://hh.ru/vacancy/130578272,Unknown
130709588,Data Scientist,2026-02-24T16:25:31+0300,Aston,https://hh.ru/vacancy/130709588,Unknown
130667306,Flutter-разработчик (Junior),2026-02-23T11:56:21+0300,IDF Technology,https://hh.ru/vacancy/130667306,Junior
130651647,Middle Research Manager / Руководитель проектов (строго с опытом в агентстве),2026-02-23T17:03:11+0300,MAR Consult,https://hh.ru/vacancy/130651647,Middle
127979484,Data Scientist,2026-02-18T12:36:00+0300,Freedom Holding Operations,https://hh.ru/vacancy/127979484,Unknown
130162479,ML/NLP Инженер (Менторство),2026-02-04T12:26:30+0300,Миргалеев Марк Робертович,https://hh.ru/vacancy/130162479,Unknown
130638534,Специалист по управленческому учету,2026-02-20T12:07:34+0300,Газпромнефть-Региональные продажи,https://hh.ru/vacancy/130638534,Unknown
130586804,Аналитик данных/Data Science,2026-02-19T02:25:09+0300,DCloud,https://hh.ru/vacancy/130586804,Unknown
130218076,Senior Project Specialist / Product Change Management (PCM),2026-02-05T16:35:25+0300,Mondelez Kazakhstan LLP,https://hh.ru/vacancy/130218076,Senior
130532099,Менеджер по работе с корпоративными клиентами,2026-02-17T14:53:05+0300,Карпов Курсес,https://hh.ru/vacancy/130532099,Unknown
130607516,AI / Machine Learning Engineer,2026-02-24T10:01:56+0300,Safia кондитерский дом,https://hh.ru/vacancy/130607516,Unknown
130584869,Senior Python-разработчик (в Data Science департамент),2026-02-24T20:16:12+0300,МФК Фордевинд,https://hh.ru/vacancy/130584869,Senior
130566260,Продакт - Менеджер в команду Поиска,2026-02-18T12:52:04+0300,Halyk Finservice,https://hh.ru/vacancy/130566260,Unknown
130409093,Стажер/ML Engineer (Центр квантовых технологий),2026-02-12T16:59:50+0300,СБЕР,https://hh.ru/vacancy/130409093,Intern
130165892,Game Mathematician / Data Scientist,2026-02-10T19:38:31+0300,крупный игровой холдинг,https://hh.ru/vacancy/130165892,Unknown
130670624,Аналитик данных (Debt collection analyst),2026-02-23T16:37:09+0300,4FINANCE DIGITAL KZ,https://hh.ru/vacancy/130670624,Unknown
130326684,"Инженер данных (SQL, Python)",2026-02-10T15:10:22+0300,Центральный банк Российской Федерации (Банк России),https://hh.ru/vacancy/130326684,Unknown
130666773,Специалист по бизнес-автоматизации (n8n / CRM / 1C / ERP),2026-02-23T11:16:59+0300,ОсОО Визовый Центр,https://hh.ru/vacancy/130666773,Unknown
130489686,Руководитель проекта,2026-02-16T14:26:55+0300,Объединение когнитивных ассоциативных систем,https://hh.ru/vacancy/130489686,Unknown
130663165,Покерный эксперт (GTO / алгоритмы / стратегия),2026-02-22T20:06:37+0300,Торговая Компания Семь Братьев,https://hh.ru/vacancy/130663165,Unknown
130370564,ML Engineer (Time Series / Anomaly Detection),2026-02-11T16:59:20+0300,СККИА,https://hh.ru/vacancy/130370564,Unknown
130373507,Исследователь/Research Scientist,2026-02-11T18:26:23+0300,Криптонит,https://hh.ru/vacancy/130373507,Unknown
130502356,Data аналитик,2026-02-16T18:44:32+0300,LIAN,https://hh.ru/vacancy/130502356,Unknown
130667362,Data Scientist AI/ML инженер,2026-02-23T12:00:22+0300,ЮКОЛА-ИНФО-Брест,https://hh.ru/vacancy/130667362,Unknown
130702095,Инженер данных,2026-02-24T14:23:48+0300,Ростелеком,https://hh.ru/vacancy/130702095,Unknown
130243628,AI Engineer,2026-02-06T14:23:19+0300,ДЕВХЭД,https://hh.ru/vacancy/130243628,Unknown
129953974,Senior C++ developer (Highload) в AdTech,2026-02-25T13:51:03+0300,Hyper AdTech,https://hh.ru/vacancy/129953974,Senior
130325804,Руководитель отдела развития инфраструктуры DWH,2026-02-10T14:55:23+0300,RWB (Wildberries & Russ),https://hh.ru/vacancy/130325804,Unknown
130703467,Стажер системный аналитик,2026-02-24T14:46:10+0300,СБЕР,https://hh.ru/vacancy/130703467,Intern
130191512,Ведущий аналитик 1С (Регламентированный учет),2026-02-05T08:57:48+0300,JSA Group,https://hh.ru/vacancy/130191512,Senior
130579194,Senior LLMOps Engineer Tokyo,2026-02-18T16:54:56+0300,Lucky Hunter,https://hh.ru/vacancy/130579194,Senior
126621497,Python разработчик,2026-02-15T12:45:16+0300,КРОК,https://hh.ru/vacancy/126621497,Unknown
130621055,DWH разработчик,2026-02-19T18:16:01+0300,LIAN,https://hh.ru/vacancy/130621055,Unknown
130691664,Архитектор ПО,2026-02-24T11:42:40+0300,ВАЗСИСТЕМ,https://hh.ru/vacancy/130691664,Unknown
130540072,Аналитик данных,2026-02-17T17:20:48+0300,ГБУ МФЦ города Москвы Мои документы,https://hh.ru/vacancy/130540072,Unknown
130619441,Senior Data Analyst,2026-02-19T17:16:39+0300,LIAN,https://hh.ru/vacancy/130619441,Senior
130757408,SEO аналитик,2026-02-25T14:34:05+0300,Котенков,https://hh.ru/vacancy/130757408,Unknown
130204918,ML-инженер / Data Science,2026-02-05T13:13:53+0300,Decart IT-production,https://hh.ru/vacancy/130204918,Unknown
